NAME,GYM,DOB,HEIGHT,WEIGHT
"TIM WILLIAMS","Team Balance","1986-07-03","6'2'","185 LBS"
"TINA LAHDEMAKI","RNC Sport Club","1988-05-28","5'2'","115 LBS"
"TODD DUFFEE","American Kickboxing Academy","1985-12-06","6'3'","241 LBS"
"TOM BREESE","Tristar Gym","1991-09-26","6'3'","170 LBS"
"TOM DUQUESNOY","Jackson-Wink MMA","1993-06-21","5'7'","135 LBS"
"TONY FERGUSON","Team Death Clutch","1984-02-12","6'0'","155 LBS"
"TONYA EVINGER","W4R Training Center","1981-06-04","5'7'","135 LBS"
"TREVIN GILES","Texas Elite MMA","1992-08-06","6'0'","185 LBS"
"TREVOR SMITH","Ring Demon Jiu-Jitsu","1981-01-05","6'3'","185 LBS"
"TYRON WOODLEY","American Top Team Evolution","1982-04-17","5'9'","170 LBS"
"TYSON PEDRO","Lions High Performance Centre","1991-09-17","6'3'","205 LBS"
"ULKA SASAKI","Wajutsu Keishukai Suruga","1989-10-07","5'10'","125 LBS"
"URIAH HALL","Fortis MMA","1984-07-31","6'0'","186 LBS"
"URIJAH FABER","Team Alpha Male","1979-05-14","5'6'","135 LBS"
"VALENTINA SHEVCHENKO","Tiger Muay Thai","1988-03-07","5'5'","125 LBS"
"VERONICA MACEDO","MMA Factory","1995-10-30","5'3'","125 LBS"
"VICENTE LUQUE","Cerrado MMA","1991-11-27","5'11'","170 LBS"
"VINC PICHEL","","1982-11-23","5'10'","155 LBS"
"VINCE MORALES","Freak-Jitsu","1990-11-12","5'7'","135 LBS"
"VINCE MURDOCK","Team Alpha Male","1991-03-21","5'7'","143 LBS"
"VINICIUS CASTRO","Five Rounds","1989-02-28","6'4'","205 LBS"
"VINICIUS MOREIRA","Five Rounds","1989-02-28","6'4'","205 LBS"
"VIRNA JANDIROBA","Fight House / Team Velame","1988-05-30","5'3'","115 LBS"
"VIVIANE ARAUJO","Cerrado MMA / Companhia Athletica","1986-11-21","5'5'","125 LBS"
"VOLKAN OEZDEMIR","Hard Knocks 365","1989-09-19","6'1'","205 LBS"
"WALT HARRIS","American Top Team","1983-06-10","6'5'","252 LBS"
"WANG GUAN","American Top Team","1986-03-14","5'11'","145 LBS"
"WARLLEY ALVES","X-Gym","1991-01-04","5'11'","170 LBS"
"WELLINGTON TURMAN","Gile Ribeiro Team","1996-07-22","6'0'","185 LBS"
"WILSON REIS","Brazilian Jiu-Jitsu United / Godoi Jiu-Jitsu","1985-01-06","5'4'","125 LBS"
"WU YANAN","","1996-04-18","5'8'","125 LBS"
"WULIJI BUREN","","1990-03-01","5'9'","135 LBS"
"XIAONAN YAN","China Top Team","1989-06-16","5'5'","114 LBS"
"YAIR RODRIGUEZ","Valle Flow Striking","1992-10-06","5'11'","145 LBS"
"YANA KUNITSKAYA","Jackson-Wink MMA","1989-11-11","5'6'","135 LBS"
"YANCY MEDEIROS","Team Hakuilua","1987-09-07","5'10'","170 LBS"
"YOEL ROMERO","American Top Team","1977-04-30","5'10'","185 LBS"
"YOSHIHIRO AKIYAMA","Jackson-Wink MMA","1975-07-29","5'10'","170 LBS"
"YUSHIN OKAMI","Wajutsu Keishukai Tokyo","1981-07-21","6'2'","185 LBS"
"YVES EDWARDS","American Top Team","1976-09-30","5'10'","155 LBS"
"ZABIT MAGOMEDSHARIPOV","Ricardo Almeida Jiu-Jitsu","1991-03-01","6'1'","145 LBS"
"ZAK CUMMINGS","Glory MMA and Fitness","1984-08-02","6'0'","170 LBS"
"ZAK OTTOW","Pura Vida BJJ","1986-12-22","5'11'","170 LBS"
"ZHANG WEILI","Black Tiger Fight Club","1989-08-13","5'4'","115 LBS"
"ZUBAIRA TUKHUGOV","Tiger Muay Thai","1991-01-15","5'8'","145 LBS"
